date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:52	7969/7969	---M-Z	200	added ('OK')	text/html	etag:W/%2265b92e54-1f21%22	https://markeclaudio.github.io/mikrotik-wireguard-config-generator/	C:/Users/nayim/Desktop/wg/markeclaudio.github.io/mikrotik-wireguard-config-generator/index.html	(from )
12:29:53	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268c9de78-239b%22	https://markeclaudio.github.io/robots.txt		(from )
12:29:53	200381/200381	---M-Z	200	added ('OK')	text/css	etag:W/%2230ebd-9HuFkF9/asdOiZY761mVkweDerQ%22	https://cdn.jsdelivr.net/npm/bulma@0.9.0/css/bulma.min.css	C:/Users/nayim/Desktop/wg/cdn.jsdelivr.net/npm/bulma@0.9.0/css/bulma.min.css	(from https://markeclaudio.github.io/mikrotik-wireguard-config-generator/)
12:29:54	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://markeclaudio.github.io/mikrotik-wireguard-config-generator/favicon.ico	C:/Users/nayim/Desktop/wg/markeclaudio.github.io/mikrotik-wireguard-config-generator/favicon.ico	(from https://markeclaudio.github.io/mikrotik-wireguard-config-generator/)
12:29:54	342147/342147	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Sep%202025%2018:31:37%20GMT	https://unpkg.com/vue@2.6.12/dist/vue.js	C:/Users/nayim/Desktop/wg/unpkg.com/vue@2.6.12/dist/vue.js	(from https://markeclaudio.github.io/mikrotik-wireguard-config-generator/)
12:29:54	55131/55131	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2017%20Sep%202025%2013:34:34%20GMT	https://unpkg.com/qrcode@1.4.4/build/qrcode.min.js	C:/Users/nayim/Desktop/wg/unpkg.com/qrcode@1.4.4/build/qrcode.min.js	(from https://markeclaudio.github.io/mikrotik-wireguard-config-generator/)
12:29:54	97630/97630	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2008%20Jul%202025%2012:09:04%20GMT	https://unpkg.com/jszip@3.10.1/dist/jszip.min.js	C:/Users/nayim/Desktop/wg/unpkg.com/jszip@3.10.1/dist/jszip.min.js	(from https://markeclaudio.github.io/mikrotik-wireguard-config-generator/)
12:29:55	2749/2749	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2027%20Aug%202025%2004:29:49%20GMT	https://unpkg.com/file-saver@2.0.5/dist/FileSaver.min.js	C:/Users/nayim/Desktop/wg/unpkg.com/file-saver@2.0.5/dist/FileSaver.min.js	(from https://markeclaudio.github.io/mikrotik-wireguard-config-generator/)
12:29:55	4104/4104	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265b92e54-1008%22	https://markeclaudio.github.io/mikrotik-wireguard-config-generator/wireguard.js	C:/Users/nayim/Desktop/wg/markeclaudio.github.io/mikrotik-wireguard-config-generator/wireguard.js	(from https://markeclaudio.github.io/mikrotik-wireguard-config-generator/)
12:29:56	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://markeclaudio.github.io/mikrotik-wireguard-config-generator/clients.zip	C:/Users/nayim/Desktop/wg/markeclaudio.github.io/mikrotik-wireguard-config-generator/clients.zip	(from https://markeclaudio.github.io/mikrotik-wireguard-config-generator/)
